"V1","V2","V3","V4","V5"
"s","s","sw","s","s"
"sw","s","sw","sw","sw"
"s","sw","s","s","s"
"s","sw","sw","sw","sw"
"s","s","sw","s","s"
"sw","sw","s","sw","s"
"s","c","s","sw","sw"
"sw","s","c","s","s"
"s","s","s","sw","sw"
"sw","sw","sw","s","sw"
"sw","sw","s","s","sw"
"sw","sw","sw","s","sw"
"s","s","s","s","sw"
"s","sw","sw","sw","sw"
"s","sw","sw","s","s"
"c","c","s","s","s"
"s","sw","s","s","sw"
"s","sw","sw","s","sw"
"sw","sw","sw","sw","sw"
"s","s","s","sw","s"
"s","s","s","s","s"
"s","sw","s","c","s"
"s","sw","s","s","sw"
"sw","sw","s","sw","sw"
"sw","s","sw","s","sw"
"s","sw","sw","s","s"
"s","s","s","sw","s"
"sw","sw","sw","sw","sw"
"s","s","c","c","s"
"c","s","s","sw","sw"
"sw","s","s","c","s"
"sw","sw","sw","sw","sw"
"sw","s","s","s","s"
"c","s","s","sw","sw"
"sw","s","sw","sw","s"
"sw","sw","sw","s","s"
"s","sw","s","s","sw"
"sw","s","s","s","s"
"sw","s","s","s","s"
"sw","sw","sw","s","s"
"s","sw","sw","sw","sw"
"s","sw","s","s","sw"
"s","sw","sw","sw","sw"
"sw","sw","sw","s","s"
"s","sw","s","sw","sw"
"sw","sw","sw","sw","s"
"sw","sw","s","s","s"
"c","s","s","s","s"
"s","s","s","s","s"
"s","sw","sw","sw","sw"
"s","c","c","s","s"
"sw","sw","sw","sw","sw"
"s","sw","sw","sw","sw"
"sw","sw","sw","s","s"
"sw","sw","s","s","sw"
"s","c","c","s","sw"
"s","sw","s","s","s"
"sw","sw","sw","sw","s"
"s","sw","sw","sw","sw"
"s","sw","sw","s","s"
"s","s","s","s","sw"
"sw","s","sw","s","s"
"sw","s","c","c","s"
"s","sw","s","c","s"
"c","s","s","sw","sw"
"s","sw","s","s","s"
"s","c","s","s","sw"
"sw","s","s","sw","s"
"s","sw","sw","sw","sw"
"s","s","s","s","s"
"s","sw","s","sw","sw"
"s","s","sw","s","sw"
"s","sw","s","s","s"
"s","s","sw","s","s"
"s","s","s","s","c"
"s","s","sw","sw","s"
"s","s","s","c","s"
"s","s","sw","sw","s"
"s","sw","s","sw","sw"
"sw","s","sw","sw","s"
"s","sw","s","sw","sw"
"s","s","s","sw","sw"
"sw","s","s","s","sw"
"sw","sw","sw","sw","s"
"sw","s","c","s","sw"
"sw","s","sw","s","s"
"s","c","s","s","sw"
"sw","sw","sw","sw","s"
"s","sw","sw","sw","s"
"sw","s","s","s","sw"
"s","s","sw","sw","sw"
"sw","sw","s","s","s"
"sw","sw","s","s","s"
"s","s","sw","sw","s"
"s","c","c","s","s"
"s","sw","sw","s","sw"
"s","s","s","sw","sw"
"sw","s","sw","s","s"
"s","s","sw","s","s"
"s","s","s","sw","sw"
"s","s","c","c","s"
"s","s","s","sw","sw"
"sw","s","sw","s","s"
"sw","s","s","sw","s"
"s","s","s","s","sw"
"s","c","s","s","s"
"c","s","s","s","s"
"c","s","s","s","sw"
"s","s","sw","s","s"
"sw","s","s","s","sw"
"sw","sw","sw","s","s"
"s","s","sw","s","s"
"s","sw","sw","s","s"
"s","sw","sw","sw","sw"
"sw","s","sw","sw","sw"
"sw","sw","s","sw","s"
"sw","s","c","c","s"
"sw","s","s","sw","s"
"s","s","s","sw","s"
"sw","s","s","s","sw"
"sw","sw","sw","s","sw"
"sw","s","s","s","sw"
"s","s","s","s","sw"
"sw","sw","s","sw","sw"
"sw","sw","s","s","sw"
"sw","s","s","sw","sw"
"s","s","sw","sw","sw"
"sw","sw","sw","sw","s"
"s","c","c","s","s"
"sw","sw","sw","s","s"
"s","s","sw","s","s"
"s","s","sw","s","sw"
"s","s","s","sw","sw"
"sw","s","sw","s","s"
"s","s","sw","s","sw"
"s","s","s","sw","sw"
"sw","sw","sw","sw","sw"
"s","s","s","sw","sw"
"s","c","s","s","c"
"s","s","sw","sw","sw"
"sw","sw","sw","sw","s"
"s","sw","sw","s","sw"
"sw","sw","s","c","s"
"s","s","sw","s","s"
"s","sw","s","sw","s"
"sw","sw","sw","sw","s"
"s","sw","sw","sw","s"
"s","s","s","s","s"
"sw","sw","s","sw","sw"
"s","sw","sw","s","s"
"c","c","s","s","s"
"sw","sw","s","sw","sw"
"s","s","s","s","s"
"c","s","s","s","s"
"s","sw","s","s","s"
"sw","sw","s","s","s"
"s","s","s","s","sw"
"s","sw","sw","s","s"
"s","sw","sw","s","s"
"s","sw","sw","sw","sw"
"s","s","sw","s","s"
"s","s","s","c","c"
"s","s","s","sw","sw"
"s","s","s","c","c"
"s","s","sw","sw","sw"
"s","s","s","c","s"
"s","sw","sw","s","s"
"sw","sw","sw","s","s"
"sw","s","c","c","s"
"s","s","s","sw","sw"
"s","s","s","s","s"
"c","s","sw","sw","sw"
"sw","sw","sw","sw","sw"
"sw","sw","sw","sw","sw"
"s","s","sw","sw","sw"
"s","s","sw","sw","s"
"sw","sw","s","c","s"
"s","s","sw","sw","sw"
"sw","s","sw","sw","s"
"sw","s","s","sw","s"
"s","s","c","s","s"
"s","sw","s","s","sw"
"s","sw","sw","s","s"
"s","s","sw","s","s"
"s","sw","sw","s","s"
"s","s","s","sw","sw"
"s","s","s","s","s"
"c","c","s","s","s"
"s","s","sw","sw","sw"
"sw","sw","sw","sw","sw"
"sw","s","s","s","sw"
"sw","sw","sw","sw","sw"
"s","s","sw","s","s"
"s","s","s","sw","sw"
"s","s","s","s","s"
"s","s","s","s","s"
"s","sw","s","sw","sw"
"s","sw","s","s","s"
"s","sw","s","s","s"
"sw","s","s","s","s"
"sw","s","c","c","s"
"s","s","s","sw","s"
"c","s","s","s","s"
"sw","s","sw","s","s"
"s","s","s","sw","sw"
"sw","s","sw","sw","sw"
"s","s","s","sw","sw"
"s","sw","sw","sw","sw"
"s","s","s","sw","s"
"s","sw","s","s","sw"
"s","s","sw","s","s"
"s","sw","sw","s","c"
"c","s","s","sw","sw"
"sw","sw","s","s","s"
"s","s","sw","s","c"
"s","s","c","s","c"
"c","s","sw","s","s"
"c","c","s","sw","sw"
"sw","s","sw","sw","sw"
"s","sw","s","sw","sw"
"sw","s","s","s","sw"
"s","sw","sw","s","s"
"s","sw","s","sw","sw"
"sw","sw","sw","sw","sw"
"s","s","s","s","s"
"sw","sw","sw","sw","s"
"s","s","sw","sw","sw"
"sw","s","s","s","sw"
"sw","s","s","c","c"
"c","s","c","s","sw"
"s","s","s","sw","sw"
"sw","sw","sw","s","s"
"c","s","s","c","c"
"s","c","s","sw","sw"
"sw","s","s","sw","s"
"s","s","s","s","s"
"s","s","s","s","s"
"c","s","sw","sw","s"
"sw","s","s","s","s"
"s","s","s","s","s"
"s","s","c","s","s"
"sw","sw","sw","sw","s"
"s","c","c","s","c"
"s","c","c","s","s"
"sw","sw","sw","sw","sw"
"sw","s","s","c","s"
"s","sw","s","sw","sw"
"s","s","sw","s","s"
"c","c","s","s","s"
"s","sw","sw","sw","sw"
"sw","sw","sw","sw","s"
"s","s","s","s","sw"
"sw","sw","sw","sw","sw"
"sw","s","sw","sw","sw"
"sw","s","sw","sw","sw"
"s","c","s","s","s"
"sw","s","sw","s","s"
"s","sw","s","sw","s"
"s","sw","sw","sw","s"
"s","sw","s","s","sw"
"sw","s","s","s","sw"
"s","s","sw","s","sw"
"sw","sw","sw","sw","sw"
"s","sw","sw","sw","s"
"sw","sw","sw","s","s"
"s","s","c","s","sw"
"s","s","s","sw","sw"
"sw","s","s","sw","sw"
"sw","sw","sw","s","sw"
"s","s","s","sw","sw"
"sw","s","sw","sw","sw"
"s","sw","sw","s","sw"
"s","sw","s","s","sw"
"s","s","s","s","sw"
"sw","s","sw","s","s"
"sw","sw","sw","sw","s"
"s","s","s","s","s"
"c","s","sw","sw","s"
"c","s","s","s","sw"
"s","sw","s","sw","sw"
"s","s","sw","sw","sw"
"s","c","s","sw","sw"
"sw","sw","s","s","sw"
"sw","sw","s","s","s"
"s","s","sw","s","s"
"s","s","s","sw","sw"
"sw","sw","sw","s","s"
"s","s","s","s","s"
"s","sw","s","s","s"
"sw","s","sw","s","c"
"s","s","s","sw","s"
"s","s","s","sw","sw"
"s","sw","sw","sw","sw"
"s","s","s","s","s"
"s","c","s","s","c"
"s","sw","sw","sw","s"
"s","c","c","s","s"
"sw","s","s","s","sw"
"s","sw","s","sw","sw"
"sw","s","s","s","s"
"c","c","s","s","sw"
"s","sw","sw","sw","sw"
"s","c","c","s","s"
"sw","s","s","s","sw"
"sw","sw","sw","s","s"
"sw","sw","s","s","s"
"s","sw","sw","s","c"
"s","s","sw","sw","s"
"s","s","c","c","s"
"sw","s","s","s","sw"
"sw","s","s","s","c"
"s","sw","sw","s","s"
"sw","s","s","sw","sw"
"sw","s","c","s","s"
"sw","sw","sw","sw","sw"
"sw","s","s","sw","sw"
"s","sw","s","sw","sw"
"sw","sw","s","s","s"
"sw","sw","sw","s","c"
"s","sw","sw","sw","sw"
"sw","s","s","s","s"
"s","sw","s","sw","sw"
"s","s","s","s","sw"
"s","s","s","c","s"
"sw","s","s","s","s"
"sw","s","s","sw","sw"
"s","sw","sw","s","sw"
"sw","s","s","sw","s"
"sw","sw","sw","sw","sw"
"sw","s","s","s","s"
"sw","s","s","sw","sw"
"s","s","c","s","sw"
"s","c","s","s","sw"
"s","s","s","s","sw"
"s","c","s","c","s"
"sw","sw","s","s","s"
"s","s","sw","sw","sw"
"s","s","s","sw","sw"
"s","s","s","sw","s"
"sw","s","s","s","c"
"s","s","s","sw","s"
"s","sw","s","sw","s"
"s","sw","s","sw","s"
"s","sw","sw","sw","sw"
"sw","s","s","s","s"
"s","c","s","sw","sw"
"sw","s","sw","sw","sw"
"s","s","sw","s","sw"
"sw","s","sw","sw","s"
"s","s","sw","s","s"
"sw","sw","sw","sw","sw"
"sw","sw","sw","sw","s"
"sw","s","s","sw","sw"
"sw","s","s","s","sw"
"sw","sw","sw","sw","s"
"sw","sw","sw","sw","sw"
"sw","s","c","s","sw"
"sw","sw","sw","sw","sw"
"s","s","s","s","s"
"s","s","sw","s","sw"
"sw","s","sw","s","s"
"sw","s","sw","s","sw"
"sw","sw","sw","s","sw"
"s","s","s","c","c"
"c","s","s","s","c"
"c","c","s","c","s"
"s","c","s","s","s"
"s","s","s","sw","sw"
"sw","sw","s","c","s"
"s","s","sw","s","s"
"s","sw","sw","sw","sw"
"s","s","s","s","s"
"sw","sw","sw","sw","sw"
"sw","s","s","s","sw"
"sw","sw","sw","s","s"
"s","s","sw","sw","s"
"s","sw","s","s","s"
"s","s","s","c","s"
"sw","s","s","s","s"
"s","s","sw","sw","s"
"sw","sw","sw","s","s"
"sw","sw","sw","sw","sw"
"sw","sw","s","sw","s"
"s","sw","sw","sw","s"
"s","sw","sw","s","s"
"s","sw","sw","sw","sw"
"sw","s","sw","sw","sw"
"s","s","s","s","s"
"s","s","s","sw","s"
"s","s","s","s","s"
"sw","sw","s","s","sw"
"s","s","sw","s","sw"
"s","s","sw","sw","sw"
"sw","s","sw","sw","s"
"s","s","sw","s","s"
"s","s","sw","s","s"
"s","sw","s","sw","sw"
"sw","sw","sw","sw","s"
"sw","sw","s","s","c"
"s","sw","sw","sw","sw"
"s","sw","s","s","sw"
"s","s","sw","s","s"
"sw","s","s","s","s"
"s","s","s","sw","sw"
"sw","s","s","s","sw"
"s","s","s","sw","sw"
"s","sw","s","s","sw"
"s","s","c","c","s"
"s","sw","s","sw","sw"
"s","s","s","sw","sw"
"s","s","s","s","s"
"s","s","s","sw","sw"
"s","c","s","c","s"
"sw","sw","sw","sw","s"
"sw","sw","sw","sw","s"
"sw","s","c","s","sw"
"sw","sw","sw","s","sw"
"s","c","c","s","sw"
"s","sw","sw","sw","sw"
"sw","s","s","s","sw"
"sw","s","sw","s","s"
"sw","sw","sw","sw","sw"
"sw","s","sw","sw","sw"
"s","s","s","sw","s"
"sw","sw","s","s","s"
"s","s","c","s","sw"
"s","sw","sw","s","s"
"s","s","sw","sw","sw"
"s","sw","sw","sw","sw"
"sw","sw","s","sw","s"
"c","s","s","s","sw"
"s","s","s","s","sw"
"sw","sw","s","s","sw"
"s","s","sw","sw","s"
"s","sw","s","s","sw"
"sw","sw","s","s","sw"
"sw","sw","sw","sw","s"
"sw","s","c","s","c"
"c","s","s","s","s"
"sw","sw","s","s","s"
"s","sw","s","s","sw"
"sw","s","sw","sw","sw"
"sw","sw","sw","s","c"
"s","sw","sw","s","sw"
"sw","sw","sw","sw","sw"
"s","s","sw","s","sw"
"sw","sw","s","s","sw"
"sw","sw","sw","s","c"
"s","s","sw","sw","s"
"sw","s","s","sw","s"
"sw","sw","sw","sw","s"
"sw","sw","sw","s","s"
"s","s","s","c","s"
"s","s","sw","sw","sw"
"sw","sw","sw","sw","s"
"s","s","s","s","sw"
"sw","sw","sw","s","s"
"s","s","s","s","s"
"sw","sw","s","c","c"
"s","sw","sw","s","sw"
"sw","sw","sw","sw","s"
"sw","sw","sw","sw","sw"
"s","s","s","s","s"
"sw","sw","sw","s","s"
"sw","sw","s","c","c"
"c","s","s","s","sw"
"sw","sw","sw","sw","s"
"s","s","s","sw","sw"
"s","s","s","sw","s"
"sw","sw","s","sw","sw"
"sw","sw","sw","s","sw"
"s","sw","sw","sw","sw"
"sw","s","s","sw","sw"
"s","sw","sw","s","c"
"s","s","s","sw","sw"
"s","sw","sw","s","s"
"c","s","sw","sw","s"
"sw","sw","s","c","s"
"s","s","s","sw","sw"
"sw","s","sw","sw","sw"
"sw","sw","sw","sw","s"
"s","sw","sw","sw","sw"
"sw","sw","sw","s","sw"
"sw","sw","sw","s","sw"
"sw","s","s","sw","s"
"s","s","s","s","sw"
"sw","sw","sw","sw","sw"
"sw","sw","sw","sw","sw"
"sw","sw","sw","sw","sw"
"sw","sw","sw","sw","s"
"s","s","s","s","s"
"s","s","s","s","sw"
"s","sw","s","s","sw"
"sw","sw","sw","s","s"
"sw","s","sw","sw","s"
"sw","sw","sw","s","c"
"s","s","s","sw","sw"
"sw","sw","s","s","s"
"sw","s","sw","s","c"
"s","c","s","s","s"
"s","s","sw","sw","sw"
"sw","s","sw","sw","s"
"s","s","s","s","c"
"c","s","sw","sw","s"
"sw","s","c","s","sw"
"s","sw","sw","sw","sw"
"s","s","c","s","sw"
"sw","sw","s","c","s"
"sw","sw","s","s","sw"
"sw","sw","s","s","sw"
"sw","s","c","s","s"
"s","s","s","s","sw"
"sw","sw","sw","sw","sw"
"sw","s","c","s","s"
"s","s","s","sw","s"
"sw","s","s","s","c"
"s","s","sw","sw","s"
"s","s","sw","sw","s"
"s","sw","s","sw","sw"
"sw","sw","s","c","c"
"s","s","s","s","s"
"s","s","s","sw","sw"
"s","sw","sw","sw","sw"
"sw","s","s","c","s"
"s","c","c","s","s"
"s","s","s","s","s"
"sw","s","sw","sw","s"
"sw","sw","s","sw","s"
"sw","sw","sw","sw","s"
"s","sw","sw","s","s"
"sw","sw","sw","s","sw"
"sw","sw","sw","s","c"
"s","sw","s","sw","s"
"s","sw","s","s","sw"
"sw","s","c","s","s"
"c","s","s","s","c"
"s","sw","s","sw","sw"
"s","c","c","s","sw"
"sw","sw","s","sw","sw"
"s","sw","sw","sw","sw"
"sw","sw","s","s","s"
"sw","sw","sw","sw","s"
"s","s","s","sw","s"
"sw","sw","s","s","s"
"s","sw","s","s","sw"
"sw","sw","sw","s","sw"
"sw","sw","sw","sw","s"
"sw","s","s","s","s"
"sw","sw","sw","s","s"
"sw","sw","sw","sw","s"
"sw","s","s","c","s"
"s","s","c","s","sw"
"s","sw","s","s","s"
"s","sw","sw","sw","sw"
"sw","sw","sw","s","sw"
"s","s","sw","sw","s"
"s","s","sw","s","sw"
"s","s","s","sw","sw"
"sw","s","s","s","s"
"c","s","sw","sw","sw"
"sw","sw","sw","sw","s"
"s","sw","s","sw","sw"
"sw","s","sw","s","s"
"s","s","sw","sw","sw"
"sw","sw","sw","sw","s"
"s","s","sw","sw","sw"
"sw","sw","sw","s","s"
"sw","s","s","sw","sw"
"sw","s","s","s","sw"
"s","s","s","s","s"
"s","sw","s","s","s"
"s","sw","sw","s","sw"
"sw","s","sw","sw","sw"
"s","s","c","s","c"
"s","s","sw","sw","sw"
"sw","s","s","c","s"
"s","sw","s","s","sw"
"sw","s","s","s","s"
"sw","sw","s","s","sw"
"sw","s","s","sw","s"
"s","c","s","s","sw"
"s","s","s","sw","sw"
"s","s","sw","s","s"
"s","s","s","sw","sw"
"sw","s","c","s","s"
"s","s","s","sw","s"
"sw","sw","sw","sw","s"
"sw","sw","sw","sw","sw"
"s","sw","sw","sw","sw"
"sw","sw","sw","s","s"
"s","c","s","sw","sw"
"s","s","s","s","sw"
"sw","sw","s","s","c"
"s","sw","sw","s","s"
"sw","sw","s","sw","s"
"s","c","s","s","sw"
"sw","s","s","sw","s"
"sw","sw","sw","s","s"
"s","s","s","sw","sw"
"s","sw","sw","sw","sw"
"sw","sw","sw","sw","sw"
"s","s","s","s","s"
"s","s","sw","sw","s"
"s","s","s","s","s"
"s","sw","s","s","sw"
"s","s","c","c","s"
"s","sw","sw","sw","sw"
"sw","sw","s","s","sw"
"sw","sw","sw","sw","sw"
"s","sw","s","s","sw"
"sw","s","sw","sw","s"
"sw","sw","s","sw","s"
"s","sw","sw","sw","sw"
"sw","s","s","sw","sw"
"s","s","sw","sw","sw"
"sw","s","sw","sw","sw"
"s","c","c","s","s"
"s","s","s","s","sw"
"sw","sw","s","s","s"
"s","c","s","sw","s"
"s","sw","sw","s","c"
"s","s","s","s","sw"
"s","sw","s","sw","s"
"sw","sw","s","sw","s"
"sw","s","s","s","s"
"c","s","sw","sw","s"
"s","s","s","s","s"
"s","s","sw","sw","sw"
"s","sw","sw","sw","s"
"s","sw","s","s","s"
"sw","sw","sw","s","s"
"c","s","s","sw","sw"
"sw","sw","sw","sw","sw"
"s","sw","s","s","sw"
"sw","sw","s","s","s"
"sw","sw","sw","sw","s"
"c","c","s","s","c"
"c","s","s","s","s"
"s","sw","sw","sw","s"
"s","s","s","s","sw"
"sw","sw","s","c","s"
"c","s","s","s","c"
"s","sw","sw","sw","sw"
"s","sw","s","sw","s"
"s","sw","sw","sw","sw"
"s","s","s","s","s"
"sw","s","s","s","s"
"c","c","s","s","s"
"s","sw","sw","s","sw"
"s","s","s","s","sw"
"s","sw","sw","s","s"
"s","sw","s","s","s"
"s","s","s","s","s"
"s","sw","s","sw","sw"
"s","sw","s","sw","sw"
"sw","s","sw","sw","s"
"s","s","sw","s","s"
"s","s","s","s","s"
"s","s","sw","sw","sw"
"sw","s","s","sw","sw"
"sw","s","s","s","s"
"s","sw","s","s","sw"
"s","s","s","s","s"
"sw","sw","s","s","sw"
"sw","sw","s","s","c"
"s","sw","s","sw","sw"
"sw","sw","sw","sw","sw"
"sw","s","c","c","s"
"s","sw","sw","sw","sw"
"sw","sw","sw","sw","s"
"sw","sw","s","sw","s"
"s","sw","sw","sw","s"
"sw","sw","sw","s","sw"
"s","s","sw","sw","s"
"s","sw","s","sw","s"
"s","s","sw","s","sw"
"sw","sw","sw","sw","sw"
"sw","sw","sw","s","s"
"s","s","s","s","sw"
"sw","sw","s","s","s"
"s","sw","sw","sw","s"
"sw","s","s","s","sw"
"s","s","s","sw","sw"
"sw","sw","s","s","s"
"sw","sw","sw","sw","s"
"sw","s","sw","s","s"
"sw","sw","sw","s","sw"
"sw","s","sw","s","sw"
"sw","sw","s","s","s"
"s","sw","s","sw","sw"
"sw","sw","sw","sw","sw"
"sw","s","s","s","s"
"sw","sw","sw","sw","sw"
"sw","sw","sw","s","sw"
"sw","sw","s","s","sw"
"s","s","s","s","s"
"s","sw","s","sw","sw"
"s","s","s","s","s"
"sw","s","s","s","sw"
"sw","sw","s","s","s"
"sw","sw","sw","s","c"
"c","s","s","s","sw"
"s","s","s","c","c"
"c","s","s","sw","sw"
"sw","sw","sw","sw","s"
"s","sw","sw","sw","sw"
"sw","sw","sw","s","sw"
"s","sw","s","s","s"
"c","c","c","s","sw"
"sw","sw","sw","sw","s"
"sw","sw","sw","sw","sw"
"sw","s","sw","sw","sw"
"sw","s","s","sw","sw"
"sw","sw","sw","sw","s"
"s","s","c","c","c"
"s","s","sw","sw","sw"
"sw","sw","sw","sw","s"
"s","s","sw","sw","sw"
"sw","s","sw","sw","s"
"s","sw","sw","sw","s"
"s","s","sw","sw","s"
"s","s","s","s","s"
"sw","sw","s","s","s"
"s","sw","s","sw","s"
"sw","s","c","s","s"
"s","s","s","s","s"
"s","c","s","s","s"
"s","s","s","s","s"
"s","s","s","sw","sw"
"s","s","s","s","sw"
"sw","sw","sw","s","sw"
"sw","sw","s","c","s"
"c","s","s","s","s"
"s","c","s","s","c"
"s","s","c","s","s"
"s","s","s","s","sw"
"sw","sw","sw","s","c"
"s","sw","s","s","c"
"s","s","s","s","sw"
"s","s","s","s","sw"
"sw","sw","sw","s","s"
"s","s","sw","sw","sw"
"s","s","s","sw","sw"
"sw","s","c","s","sw"
"s","s","s","c","s"
"sw","sw","sw","s","sw"
"sw","sw","sw","sw","s"
"sw","s","s","s","s"
"sw","sw","sw","s","s"
"sw","sw","sw","sw","sw"
"s","s","sw","sw","s"
"s","sw","sw","sw","sw"
"sw","s","s","sw","sw"
"sw","s","s","s","sw"
"s","sw","s","sw","s"
"s","sw","sw","sw","sw"
"sw","sw","sw","s","s"
"s","s","sw","s","s"
"s","sw","s","s","sw"
"sw","sw","sw","sw","sw"
"s","s","s","s","sw"
"sw","sw","sw","sw","s"
"s","sw","s","s","sw"
"sw","sw","sw","s","s"
"sw","s","s","c","c"
"s","sw","s","sw","s"
"sw","s","s","sw","sw"
"s","sw","sw","sw","sw"
"sw","s","s","s","sw"
"sw","s","s","s","s"
"s","s","s","sw","sw"
"sw","sw","sw","s","s"
"s","s","sw","s","s"
"s","sw","sw","sw","s"
"s","sw","s","sw","sw"
"s","s","s","s","sw"
"sw","sw","s","sw","sw"
"sw","sw","s","sw","sw"
"sw","sw","sw","s","sw"
"sw","s","sw","s","sw"
"sw","s","sw","sw","sw"
"sw","sw","sw","s","s"
"sw","sw","sw","s","sw"
"s","sw","sw","s","sw"
"sw","sw","s","s","sw"
"s","sw","s","sw","sw"
"sw","s","c","c","s"
"s","s","sw","sw","sw"
"sw","s","sw","sw","s"
"s","s","sw","sw","s"
"sw","s","sw","s","sw"
"s","c","c","c","s"
"c","c","s","s","s"
"sw","sw","sw","s","sw"
"s","s","sw","sw","sw"
"s","sw","sw","sw","s"
"sw","sw","sw","sw","sw"
"sw","sw","s","s","sw"
"sw","sw","sw","sw","sw"
"sw","sw","sw","sw","sw"
"s","s","s","s","s"
"s","s","s","sw","sw"
"sw","s","sw","sw","s"
"sw","s","s","s","sw"
"s","c","s","sw","sw"
"sw","s","s","sw","sw"
"sw","s","s","s","s"
"sw","s","s","sw","sw"
"s","s","c","s","s"
"s","s","s","s","s"
"s","s","s","s","sw"
"s","s","s","s","s"
"s","s","s","sw","sw"
"s","sw","sw","sw","sw"
"sw","sw","sw","s","sw"
"s","s","sw","sw","sw"
"s","s","s","s","sw"
"s","s","s","sw","sw"
"s","s","sw","sw","s"
"s","c","c","s","s"
"s","sw","sw","s","s"
"c","s","s","sw","sw"
"sw","sw","sw","sw","sw"
"sw","s","s","s","s"
"sw","s","s","s","s"
"s","s","s","s","sw"
"s","s","s","sw","s"
"s","sw","s","sw","sw"
"sw","sw","sw","s","sw"
"s","s","s","s","s"
"s","s","s","sw","sw"
"s","s","sw","sw","s"
"sw","s","sw","sw","s"
"s","s","sw","sw","sw"
"s","s","s","sw","s"
"sw","sw","s","sw","s"
"s","s","s","s","sw"
"sw","sw","sw","sw","sw"
"sw","sw","sw","sw","sw"
"sw","s","s","s","s"
"s","sw","sw","s","sw"
"s","s","c","c","s"
"s","s","sw","s","sw"
"s","s","sw","s","s"
"s","s","s","sw","sw"
"sw","s","sw","sw","sw"
"s","s","s","c","s"
"s","sw","s","s","s"
"sw","sw","s","c","c"
"s","s","sw","s","sw"
"sw","sw","s","sw","sw"
"sw","s","sw","s","s"
"sw","sw","s","sw","s"
"s","sw","sw","sw","s"
"s","sw","s","c","s"
"c","s","s","sw","s"
"s","sw","s","s","s"
"s","sw","sw","s","sw"
"sw","s","s","s","sw"
"sw","sw","sw","s","sw"
"sw","s","c","s","sw"
"sw","sw","s","sw","sw"
"sw","sw","s","sw","sw"
"s","s","s","sw","sw"
"s","s","sw","sw","s"
"s","sw","s","s","s"
"sw","sw","sw","s","sw"
"sw","sw","s","s","s"
"s","s","s","s","sw"
"sw","sw","sw","sw","s"
"sw","sw","sw","sw","sw"
"sw","sw","sw","sw","sw"
"sw","sw","sw","sw","sw"
"s","s","sw","sw","sw"
"sw","sw","sw","sw","s"
"s","s","sw","sw","s"
"sw","sw","s","sw","s"
"s","s","c","s","s"
"s","c","s","s","c"
"s","s","s","s","sw"
"sw","sw","s","s","s"
"s","c","c","s","sw"
"sw","s","s","s","sw"
"sw","sw","sw","sw","sw"
"s","s","s","sw","s"
"s","c","c","s","c"
"s","s","s","sw","sw"
"sw","sw","sw","s","sw"
"sw","sw","sw","sw","s"
"s","s","sw","s","sw"
"sw","s","s","s","s"
"sw","s","s","sw","sw"
"s","s","s","s","s"
"s","s","sw","sw","sw"
"s","s","s","sw","sw"
"s","s","s","s","s"
"sw","s","s","s","s"
"s","sw","sw","sw","sw"
"s","s","s","s","s"
"sw","s","s","s","s"
"sw","s","sw","s","s"
"s","c","c","c","s"
"s","sw","sw","sw","s"
"s","s","s","s","sw"
"sw","sw","sw","sw","s"
"sw","sw","s","sw","sw"
"sw","s","s","s","sw"
"sw","sw","s","s","sw"
"sw","sw","sw","s","s"
"s","s","sw","s","s"
"s","s","sw","s","s"
"sw","sw","sw","sw","s"
"sw","sw","s","sw","sw"
"s","s","s","sw","sw"
"s","s","sw","sw","sw"
"sw","sw","sw","sw","s"
"sw","s","s","sw","sw"
"s","sw","sw","s","s"
"s","s","s","sw","s"
"s","s","sw","sw","s"
"sw","s","s","sw","s"
"s","s","s","s","s"
"s","s","c","s","s"
"s","sw","sw","sw","s"
"s","c","s","s","sw"
"s","c","s","s","s"
"s","s","sw","s","s"
"sw","sw","sw","sw","s"
"c","s","s","sw","s"
"s","sw","s","s","sw"
"s","s","s","c","s"
"s","s","sw","s","sw"
"s","c","c","c","s"
"sw","sw","s","sw","s"
"s","sw","sw","s","s"
"sw","s","s","sw","s"
"s","s","c","s","s"
"sw","sw","sw","sw","sw"
"sw","sw","sw","s","s"
"sw","sw","sw","sw","s"
"sw","sw","sw","s","sw"
"s","s","s","sw","s"
"sw","sw","s","s","s"
"sw","sw","s","s","sw"
"sw","sw","s","sw","sw"
"sw","s","s","s","s"
"s","sw","sw","sw","sw"
"s","s","sw","sw","s"
"s","c","s","s","sw"
"s","c","s","c","c"
"s","sw","s","sw","sw"
"sw","sw","sw","sw","s"
"sw","sw","s","s","s"
"s","c","s","s","sw"
"sw","sw","sw","sw","s"
"s","s","sw","sw","s"
"s","s","s","c","s"
"s","s","sw","sw","sw"
"sw","sw","s","s","sw"
"s","s","s","sw","sw"
"sw","s","sw","s","s"
"s","sw","sw","s","s"
"s","sw","sw","s","c"
"s","sw","sw","s","c"
"s","sw","sw","s","s"
"sw","sw","s","sw","s"
"s","s","s","sw","sw"
"s","sw","s","s","sw"
"sw","s","s","s","s"
"s","s","s","sw","sw"
"s","s","sw","sw","sw"
"sw","s","c","s","s"
"s","sw","sw","sw","s"
"sw","s","sw","sw","sw"
"s","s","s","s","sw"
"sw","sw","sw","s","s"
"s","s","s","s","s"
"s","s","s","s","s"
"s","c","s","s","s"
"s","sw","sw","sw","s"
"s","sw","sw","sw","sw"
"sw","sw","sw","sw","s"
"s","sw","sw","s","sw"
